Month,RepID,VisitsTarget,ProductiveCallsTarget
2025-12-01,R002,55,40
2025-12-01,R003,61,44
2025-12-01,R004,55,40
2025-12-01,R005,55,40
2025-12-01,R006,56,40
2025-12-01,R007,55,40
2025-12-01,R008,60,43
2025-12-01,R009,55,40
2025-12-01,R010,55,40
2025-12-01,R011,55,40
2025-12-01,R012,55,40
2025-12-01,R013,60,43
2025-12-01,R014,55,40
2025-12-01,R015,55,40
2025-12-01,R016,55,40
2026-01-01,R001,55,40
2026-01-01,R002,55,40
2026-01-01,R003,57,41
2026-01-01,R004,55,40
2026-01-01,R005,55,40
2026-01-01,R006,55,40
2026-01-01,R007,55,40
2026-01-01,R008,55,40
2026-01-01,R009,61,44
2026-01-01,R010,55,40
2026-01-01,R011,55,40
2026-01-01,R012,55,40
2026-01-01,R013,58,41
2026-01-01,R015,55,40
2026-01-01,R016,56,40
2026-01-01,R017,55,40
2026-01-01,R018,55,40
2026-02-01,R001,55,40
2026-02-01,R002,55,40
2026-02-01,R003,59,42
2026-02-01,R004,55,40
2026-02-01,R005,55,40
2026-02-01,R006,55,40
2026-02-01,R007,55,40
2026-02-01,R008,59,42
2026-02-01,R009,55,40
2026-02-01,R010,55,40
2026-02-01,R011,55,40
2026-02-01,R012,55,40
2026-02-01,R013,55,40
2026-02-01,R015,55,40
2026-02-01,R016,55,40
2026-02-01,R017,55,40
2026-02-01,R018,55,40
2026-03-01,R001,55,40
2026-03-01,R002,55,40
2026-03-01,R003,55,40
2026-03-01,R004,55,40
2026-03-01,R005,55,40
2026-03-01,R006,55,40
2026-03-01,R007,55,40
2026-03-01,R008,55,40
2026-03-01,R009,55,40
2026-03-01,R010,55,40
2026-03-01,R011,55,40
2026-03-01,R012,55,40
2026-03-01,R013,55,40
2026-03-01,R015,55,40
2026-03-01,R016,55,40
2026-03-01,R017,55,40
2026-03-01,R018,55,40
2026-04-01,R001,70,50
2026-04-01,R002,70,50
2026-04-01,R003,70,50
2026-04-01,R004,70,50
2026-04-01,R005,70,50
2026-04-01,R006,70,50
2026-04-01,R007,70,50
2026-04-01,R008,70,50
2026-04-01,R009,70,50
2026-04-01,R010,70,50
2026-04-01,R011,70,50
2026-04-01,R012,70,50
2026-04-01,R013,70,50
2026-04-01,R015,70,50
2026-04-01,R016,70,50
2026-04-01,R017,70,50
2026-04-01,R018,70,50
2026-05-01,R001,55,40
2026-05-01,R002,70,50
2026-05-01,R003,70,50
2026-05-01,R004,70,50
2026-05-01,R005,70,50
2026-05-01,R006,70,50
2026-05-01,R007,70,50
2026-05-01,R008,70,50
2026-05-01,R009,70,50
2026-05-01,R010,70,50
2026-05-01,R011,70,50
2026-05-01,R012,70,50
2026-05-01,R013,70,50
2026-05-01,R015,70,50
2026-05-01,R016,70,50
2026-05-01,R017,70,50
2026-05-01,R018,70,50
2026-06-01,R001,70,50
2026-06-01,R002,70,50
2026-06-01,R003,70,50
2026-06-01,R004,70,50
2026-06-01,R005,70,50
2026-06-01,R006,70,50
2026-06-01,R007,70,50
2026-06-01,R008,70,50
2026-06-01,R009,70,50
2026-06-01,R010,55,40
2026-06-01,R011,70,50
2026-06-01,R012,70,50
2026-06-01,R013,70,50
2026-06-01,R015,70,50
2026-06-01,R016,70,50
2026-06-01,R017,70,50
2026-06-01,R018,70,50
2026-07-01,R001,70,50
2026-07-01,R002,70,50
2026-07-01,R003,70,50
2026-07-01,R004,70,50
2026-07-01,R005,70,50
2026-07-01,R006,70,50
2026-07-01,R007,70,50
2026-07-01,R008,70,50
2026-07-01,R009,70,50
2026-07-01,R010,70,50
2026-07-01,R011,70,50
2026-07-01,R012,70,50
2026-07-01,R013,70,50
2026-07-01,R015,70,50
2026-07-01,R016,70,50
2026-07-01,R017,70,50
2026-07-01,R018,70,50
