AccountID,AccountName,AccountType,TerritoryID,TerritoryName,Governorate,Region,Segment,CreditLimit,JoinDate,Status,PotentialIndex
A0039,Shebin El-Kom Pharmacy 39,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,203500.0,2023-08-11,Active,1.53
A0040,Shebin El-Kom Pharmacy 40,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,40500.0,2024-01-14,Active,0.69
A0041,Shebin El-Kom Hospital 41,Hospital,T01,Shebin El-Kom,Monufia,Delta,C,49300.0,2023-08-27,Active,0.91
A0042,Shebin El-Kom Pharmacy 42,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,112100.0,2024-01-11,Active,1.24
A0043,Menouf Clinic 01,Clinic,T02,Menouf,Monufia,Delta,B,110600.0,2023-05-10,Active,1.03
A0044,Menouf Distributor 02,Distributor,T02,Menouf,Monufia,Delta,C,41000.0,2024-02-14,Active,0.63
A0045,Menouf Distributor 03,Distributor,T02,Menouf,Monufia,Delta,A,152600.0,2023-09-06,Active,1.16
A0046,Menouf Hospital 04,Hospital,T02,Menouf,Monufia,Delta,B,116400.0,2023-10-05,Active,0.91
A0047,Menouf Clinic 05,Clinic,T02,Menouf,Monufia,Delta,C,43000.0,2024-09-21,Active,0.59
A0048,Menouf Pharmacy 06,Pharmacy,T02,Menouf,Monufia,Delta,C,43500.0,2022-11-04,Active,0.64
A0049,Menouf Clinic 07,Clinic,T02,Menouf,Monufia,Delta,B,89900.0,2024-04-22,Active,0.97
A0050,Menouf Distributor 08,Distributor,T02,Menouf,Monufia,Delta,C,36900.0,2022-07-20,Active,0.68
A0051,Menouf Distributor 09,Distributor,T02,Menouf,Monufia,Delta,C,49100.0,2024-07-03,Active,0.65
A0052,Menouf Pharmacy 10,Pharmacy,T02,Menouf,Monufia,Delta,C,43000.0,2023-01-11,Active,0.65
A0053,Menouf Pharmacy 11,Pharmacy,T02,Menouf,Monufia,Delta,A,147600.0,2024-02-01,Active,1.21
A0054,Menouf Pharmacy 12,Pharmacy,T02,Menouf,Monufia,Delta,C,46000.0,2024-10-13,Active,0.55
A0055,Menouf Hospital 13,Hospital,T02,Menouf,Monufia,Delta,C,40500.0,2022-12-05,Active,0.64
A0056,Menouf Clinic 14,Clinic,T02,Menouf,Monufia,Delta,B,112000.0,2022-09-09,Active,0.82
A0057,Menouf Clinic 15,Clinic,T02,Menouf,Monufia,Delta,B,117000.0,2023-09-10,Active,1.03
A0058,Menouf Pharmacy 16,Pharmacy,T02,Menouf,Monufia,Delta,C,39000.0,2024-05-01,Active,0.65
A0059,Menouf Clinic 17,Clinic,T02,Menouf,Monufia,Delta,B,91300.0,2023-01-20,Active,0.9
A0060,Menouf Distributor 18,Distributor,T02,Menouf,Monufia,Delta,B,93400.0,2022-10-06,Active,0.91
A0061,Menouf Clinic 19,Clinic,T02,Menouf,Monufia,Delta,C,52000.0,2022-08-03,Active,0.7
A0062,Menouf Hospital 20,Hospital,T02,Menouf,Monufia,Delta,C,46300.0,2024-04-24,Active,0.69
A0063,Menouf Pharmacy 21,Pharmacy,T02,Menouf,Monufia,Delta,B,103100.0,2022-08-08,Active,0.84
A0064,Menouf Pharmacy 22,Pharmacy,T02,Menouf,Monufia,Delta,B,80600.0,2024-03-03,Active,1.06
A0065,Menouf Pharmacy 23,Pharmacy,T02,Menouf,Monufia,Delta,A,169900.0,2024-04-17,Active,1.32
A0066,Menouf Clinic 24,Clinic,T02,Menouf,Monufia,Delta,B,103300.0,2024-01-29,Active,0.89
A0067,Menouf Hospital 25,Hospital,T02,Menouf,Monufia,Delta,A,221000.0,2023-03-06,Active,1.26
A0068,Menouf Pharmacy 26,Pharmacy,T02,Menouf,Monufia,Delta,B,99700.0,2023-07-27,Active,0.93
A0069,Menouf Pharmacy 27,Pharmacy,T02,Menouf,Monufia,Delta,C,50000.0,2023-07-20,Active,0.55
A0070,Menouf Clinic 28,Clinic,T02,Menouf,Monufia,Delta,B,107300.0,2023-10-31,Active,0.75
A0071,Menouf Distributor 29,Distributor,T02,Menouf,Monufia,Delta,A,172700.0,2023-04-14,Active,1.25
A0072,Menouf Clinic 30,Clinic,T02,Menouf,Monufia,Delta,C,53200.0,2023-09-19,Active,0.65
A0073,Menouf Pharmacy 31,Pharmacy,T02,Menouf,Monufia,Delta,C,43700.0,2023-11-28,Active,0.69
A0074,Menouf Pharmacy 32,Pharmacy,T02,Menouf,Monufia,Delta,B,86300.0,2023-02-01,Active,0.79
A0075,Menouf Pharmacy 33,Pharmacy,T02,Menouf,Monufia,Delta,C,44600.0,2024-08-27,Active,0.66
A0076,Menouf Pharmacy 34,Pharmacy,T02,Menouf,Monufia,Delta,B,98600.0,2023-09-12,Active,0.95
A0077,Ashmoun Pharmacy 01,Pharmacy,T03,Ashmoun,Monufia,Delta,B,85000.0,2024-05-08,Active,0.84
A0078,Ashmoun Pharmacy 02,Pharmacy,T03,Ashmoun,Monufia,Delta,C,36600.0,2024-02-15,Active,0.74
A0079,Ashmoun Hospital 03,Hospital,T03,Ashmoun,Monufia,Delta,B,104000.0,2023-03-21,Active,0.86
A0080,Ashmoun Hospital 04,Hospital,T03,Ashmoun,Monufia,Delta,A,173300.0,2023-12-09,Active,1.4
A0081,Ashmoun Pharmacy 05,Pharmacy,T03,Ashmoun,Monufia,Delta,B,101300.0,2023-11-24,Active,0.82
A0082,Ashmoun Clinic 06,Clinic,T03,Ashmoun,Monufia,Delta,A,224000.0,2023-02-23,Active,1.38
A0083,Ashmoun Pharmacy 07,Pharmacy,T03,Ashmoun,Monufia,Delta,B,98000.0,2023-02-15,Active,0.83
A0084,Ashmoun Pharmacy 08,Pharmacy,T03,Ashmoun,Monufia,Delta,C,36700.0,2024-01-24,Active,0.6
A0085,Ashmoun Pharmacy 09,Pharmacy,T03,Ashmoun,Monufia,Delta,C,38400.0,2023-04-22,Active,0.75
A0086,Ashmoun Pharmacy 10,Pharmacy,T03,Ashmoun,Monufia,Delta,A,189500.0,2024-02-20,Active,1.13
A0087,Ashmoun Clinic 11,Clinic,T03,Ashmoun,Monufia,Delta,B,90700.0,2024-04-10,Active,1.02
A0088,Ashmoun Hospital 12,Hospital,T03,Ashmoun,Monufia,Delta,B,85300.0,2023-03-20,Active,0.84
A0089,Ashmoun Pharmacy 13,Pharmacy,T03,Ashmoun,Monufia,Delta,B,111900.0,2023-04-03,Active,0.82
A0090,Ashmoun Clinic 14,Clinic,T03,Ashmoun,Monufia,Delta,B,112900.0,2024-08-04,Active,1.12
A0091,Ashmoun Pharmacy 15,Pharmacy,T03,Ashmoun,Monufia,Delta,A,172400.0,2022-11-26,Active,1.57
A0092,Ashmoun Pharmacy 16,Pharmacy,T03,Ashmoun,Monufia,Delta,B,95200.0,2024-07-27,Active,0.97
A0093,Ashmoun Hospital 17,Hospital,T03,Ashmoun,Monufia,Delta,B,107200.0,2023-04-24,Active,1.04
A0094,Ashmoun Hospital 18,Hospital,T03,Ashmoun,Monufia,Delta,C,41400.0,2022-07-16,Active,0.6
A0095,Ashmoun Hospital 19,Hospital,T03,Ashmoun,Monufia,Delta,B,110900.0,2023-08-06,Active,0.84
A0096,Ashmoun Pharmacy 20,Pharmacy,T03,Ashmoun,Monufia,Delta,B,107900.0,2024-03-22,Active,1.09
A0097,Ashmoun Pharmacy 21,Pharmacy,T03,Ashmoun,Monufia,Delta,B,85000.0,2024-11-02,Active,0.97
A0098,Ashmoun Clinic 22,Clinic,T03,Ashmoun,Monufia,Delta,A,198900.0,2023-11-04,Active,1.18
A0099,Ashmoun Clinic 23,Clinic,T03,Ashmoun,Monufia,Delta,C,38900.0,2024-08-20,Active,0.65
A0100,Ashmoun Pharmacy 24,Pharmacy,T03,Ashmoun,Monufia,Delta,A,148200.0,2024-02-16,Active,1.37
A0101,Ashmoun Pharmacy 25,Pharmacy,T03,Ashmoun,Monufia,Delta,B,99900.0,2022-10-18,Active,0.88
A0102,Ashmoun Pharmacy 26,Pharmacy,T03,Ashmoun,Monufia,Delta,A,148100.0,2023-11-22,Active,1.27
A0103,Ashmoun Pharmacy 27,Pharmacy,T03,Ashmoun,Monufia,Delta,C,43500.0,2023-10-29,Active,0.73
A0104,Ashmoun Pharmacy 28,Pharmacy,T03,Ashmoun,Monufia,Delta,B,88600.0,2023-03-03,Active,0.94
A0105,Ashmoun Clinic 29,Clinic,T03,Ashmoun,Monufia,Delta,C,42000.0,2022-10-17,Active,0.77
A0106,Ashmoun Pharmacy 30,Pharmacy,T03,Ashmoun,Monufia,Delta,A,188000.0,2023-11-20,Active,1.29
A0107,Ashmoun Distributor 31,Distributor,T03,Ashmoun,Monufia,Delta,C,52200.0,2022-10-18,Active,0.55
A0108,Ashmoun Pharmacy 32,Pharmacy,T03,Ashmoun,Monufia,Delta,B,111800.0,2024-04-05,Active,0.98
A0109,Ashmoun Pharmacy 33,Pharmacy,T03,Ashmoun,Monufia,Delta,B,116700.0,2024-08-22,Active,1.07
A0110,Ashmoun Hospital 34,Hospital,T03,Ashmoun,Monufia,Delta,C,47900.0,2024-07-31,Active,0.65
A0111,Sadat City Pharmacy 01,Pharmacy,T04,Sadat City,Monufia,Delta,B,110400.0,2024-03-09,Active,0.83
A0112,Sadat City Hospital 02,Hospital,T04,Sadat City,Monufia,Delta,B,79100.0,2024-04-27,Active,0.96
A0113,Sadat City Pharmacy 03,Pharmacy,T04,Sadat City,Monufia,Delta,A,209000.0,2024-10-19,Active,1.56
A0114,Sadat City Distributor 04,Distributor,T04,Sadat City,Monufia,Delta,C,53600.0,2024-10-06,Active,0.71
A0115,Sadat City Distributor 05,Distributor,T04,Sadat City,Monufia,Delta,C,39200.0,2023-12-23,Active,0.64
A0116,Sadat City Pharmacy 06,Pharmacy,T04,Sadat City,Monufia,Delta,B,96300.0,2023-12-23,Active,1.01
A0117,Sadat City Clinic 07,Clinic,T04,Sadat City,Monufia,Delta,A,222300.0,2023-08-07,Active,1.73
A0118,Sadat City Pharmacy 08,Pharmacy,T04,Sadat City,Monufia,Delta,B,85700.0,2024-01-16,Active,0.84
A0119,Sadat City Pharmacy 09,Pharmacy,T04,Sadat City,Monufia,Delta,C,53300.0,2023-05-18,Active,0.85
A0120,Sadat City Pharmacy 10,Pharmacy,T04,Sadat City,Monufia,Delta,B,110700.0,2023-12-04,Active,1.02
A0121,Sadat City Pharmacy 11,Pharmacy,T04,Sadat City,Monufia,Delta,B,109300.0,2023-03-30,Active,0.91
A0122,Sadat City Hospital 12,Hospital,T04,Sadat City,Monufia,Delta,B,96200.0,2023-12-13,Active,1.0
A0123,Sadat City Pharmacy 13,Pharmacy,T04,Sadat City,Monufia,Delta,C,40900.0,2024-09-26,Active,0.71
A0124,Sadat City Hospital 14,Hospital,T04,Sadat City,Monufia,Delta,A,196300.0,2024-03-16,Active,1.35
A0125,Sadat City Distributor 15,Distributor,T04,Sadat City,Monufia,Delta,C,47400.0,2023-05-11,Active,0.59
A0126,Sadat City Pharmacy 16,Pharmacy,T04,Sadat City,Monufia,Delta,B,76300.0,2024-06-17,Active,0.85
A0127,Sadat City Pharmacy 17,Pharmacy,T04,Sadat City,Monufia,Delta,A,216200.0,2022-07-30,Active,1.2
A0128,Sadat City Pharmacy 18,Pharmacy,T04,Sadat City,Monufia,Delta,C,54200.0,2023-05-26,Active,0.65
A0129,Sadat City Pharmacy 19,Pharmacy,T04,Sadat City,Monufia,Delta,B,100300.0,2023-04-11,Active,1.11
A0130,Sadat City Clinic 20,Clinic,T04,Sadat City,Monufia,Delta,C,42600.0,2023-05-21,Active,0.76
A0131,Sadat City Clinic 21,Clinic,T04,Sadat City,Monufia,Delta,B,91400.0,2024-07-02,Active,1.14
A0132,Sadat City Clinic 22,Clinic,T04,Sadat City,Monufia,Delta,A,148500.0,2023-02-19,Active,1.59
A0133,Sadat City Clinic 23,Clinic,T04,Sadat City,Monufia,Delta,B,102700.0,2023-01-17,Active,0.87
A0134,Sadat City Clinic 24,Clinic,T04,Sadat City,Monufia,Delta,C,44700.0,2023-07-03,Active,0.79
A0135,Sadat City Pharmacy 25,Pharmacy,T04,Sadat City,Monufia,Delta,B,113800.0,2024-05-19,Active,0.95
A0136,Sadat City Pharmacy 26,Pharmacy,T04,Sadat City,Monufia,Delta,B,92200.0,2024-01-17,Active,0.94
A0137,Sadat City Pharmacy 27,Pharmacy,T04,Sadat City,Monufia,Delta,C,47000.0,2023-06-08,Active,0.69
A0138,Sadat City Pharmacy 28,Pharmacy,T04,Sadat City,Monufia,Delta,B,90000.0,2022-11-24,Active,0.89
A0139,Sadat City Pharmacy 29,Pharmacy,T04,Sadat City,Monufia,Delta,B,85100.0,2022-09-29,Active,0.84
A0140,Sadat City Hospital 30,Hospital,T04,Sadat City,Monufia,Delta,C,37700.0,2023-02-17,Active,0.65
A0141,Sadat City Pharmacy 31,Pharmacy,T04,Sadat City,Monufia,Delta,A,179800.0,2023-09-23,Active,1.27
A0142,Sadat City Pharmacy 32,Pharmacy,T04,Sadat City,Monufia,Delta,A,209200.0,2022-07-31,Active,1.23
A0143,Sadat City Clinic 33,Clinic,T04,Sadat City,Monufia,Delta,B,89600.0,2023-03-06,Active,1.17
A0144,Sadat City Pharmacy 34,Pharmacy,T04,Sadat City,Monufia,Delta,C,43900.0,2023-12-24,Active,0.62
A0145,Sadat City Pharmacy 35,Pharmacy,T04,Sadat City,Monufia,Delta,C,40800.0,2023-10-15,Active,0.67
A0146,Sadat City Pharmacy 36,Pharmacy,T04,Sadat City,Monufia,Delta,B,77700.0,2023-12-23,Active,0.84
A0147,Sadat City Pharmacy 37,Pharmacy,T04,Sadat City,Monufia,Delta,A,180300.0,2024-11-15,Active,1.66
A0148,Sadat City Clinic 38,Clinic,T04,Sadat City,Monufia,Delta,B,80700.0,2022-11-22,Active,0.84
A0149,Sadat City Pharmacy 39,Pharmacy,T04,Sadat City,Monufia,Delta,B,95300.0,2023-06-02,Active,0.96
A0150,Sadat City Distributor 40,Distributor,T04,Sadat City,Monufia,Delta,C,54900.0,2023-04-17,Active,0.67
A0151,Sadat City Pharmacy 41,Pharmacy,T04,Sadat City,Monufia,Delta,C,54500.0,2022-08-14,Active,0.73
A0152,Sadat City Pharmacy 42,Pharmacy,T04,Sadat City,Monufia,Delta,B,108500.0,2024-11-14,Active,0.98
A0153,Tanta Clinic 01,Clinic,T05,Tanta,Gharbia,Delta,C,40700.0,2024-07-26,Active,0.97
A0154,Tanta Clinic 02,Clinic,T05,Tanta,Gharbia,Delta,A,150800.0,2024-01-05,Active,2.02
A0155,Tanta Hospital 03,Hospital,T05,Tanta,Gharbia,Delta,A,210100.0,2023-04-20,Active,1.71
A0156,Tanta Pharmacy 04,Pharmacy,T05,Tanta,Gharbia,Delta,A,182100.0,2023-08-16,Active,1.69
A0157,Tanta Pharmacy 05,Pharmacy,T05,Tanta,Gharbia,Delta,C,43400.0,2022-12-29,Active,0.77
A0158,Tanta Pharmacy 06,Pharmacy,T05,Tanta,Gharbia,Delta,A,201100.0,2023-05-02,Active,1.39
A0159,Tanta Pharmacy 07,Pharmacy,T05,Tanta,Gharbia,Delta,A,190400.0,2022-07-21,Active,1.81
A0160,Tanta Distributor 08,Distributor,T05,Tanta,Gharbia,Delta,B,109100.0,2023-10-08,Active,1.16
A0161,Tanta Clinic 09,Clinic,T05,Tanta,Gharbia,Delta,C,47300.0,2024-04-27,Active,0.7
A0162,Tanta Pharmacy 10,Pharmacy,T05,Tanta,Gharbia,Delta,B,84900.0,2022-11-23,Active,1.29
A0163,Tanta Pharmacy 11,Pharmacy,T05,Tanta,Gharbia,Delta,A,196700.0,2024-11-25,Active,1.76
A0164,Tanta Pharmacy 12,Pharmacy,T05,Tanta,Gharbia,Delta,A,155700.0,2023-05-05,Active,1.45
A0165,Tanta Clinic 13,Clinic,T05,Tanta,Gharbia,Delta,C,46000.0,2023-03-01,Active,0.94
A0166,Tanta Hospital 14,Hospital,T05,Tanta,Gharbia,Delta,B,117800.0,2024-10-19,Active,1.16
A0167,Tanta Pharmacy 15,Pharmacy,T05,Tanta,Gharbia,Delta,C,41500.0,2022-08-03,Active,0.73
A0168,Tanta Hospital 16,Hospital,T05,Tanta,Gharbia,Delta,C,53200.0,2023-07-14,Active,0.69
A0169,Tanta Pharmacy 17,Pharmacy,T05,Tanta,Gharbia,Delta,B,77300.0,2023-11-20,Active,1.23
A0170,Tanta Hospital 18,Hospital,T05,Tanta,Gharbia,Delta,B,83700.0,2024-08-06,Active,1.08
A0171,Tanta Pharmacy 19,Pharmacy,T05,Tanta,Gharbia,Delta,B,98400.0,2023-05-11,Active,0.97
A0172,Tanta Pharmacy 20,Pharmacy,T05,Tanta,Gharbia,Delta,B,117700.0,2024-03-03,Active,1.2
A0173,Tanta Hospital 21,Hospital,T05,Tanta,Gharbia,Delta,A,188000.0,2024-02-22,Active,1.8
A0174,Tanta Pharmacy 22,Pharmacy,T05,Tanta,Gharbia,Delta,B,87900.0,2022-09-25,Active,1.1
A0175,Tanta Distributor 23,Distributor,T05,Tanta,Gharbia,Delta,C,43500.0,2022-10-28,Active,0.91
A0176,Tanta Pharmacy 24,Pharmacy,T05,Tanta,Gharbia,Delta,C,45700.0,2023-11-08,Active,0.88
A0177,Tanta Pharmacy 25,Pharmacy,T05,Tanta,Gharbia,Delta,C,54200.0,2023-02-11,Active,0.71
A0178,Tanta Pharmacy 26,Pharmacy,T05,Tanta,Gharbia,Delta,B,91800.0,2022-08-17,Active,0.98
A0179,Tanta Clinic 27,Clinic,T05,Tanta,Gharbia,Delta,B,99000.0,2022-07-24,Active,1.38
A0180,Tanta Pharmacy 28,Pharmacy,T05,Tanta,Gharbia,Delta,A,201600.0,2022-07-23,Active,1.62
A0181,Tanta Clinic 29,Clinic,T05,Tanta,Gharbia,Delta,A,161600.0,2023-10-13,Active,1.61
A0182,Tanta Pharmacy 30,Pharmacy,T05,Tanta,Gharbia,Delta,A,191200.0,2024-01-28,Active,2.02
A0183,Tanta Clinic 31,Clinic,T05,Tanta,Gharbia,Delta,A,194200.0,2024-03-29,Active,1.96
A0184,Tanta Pharmacy 32,Pharmacy,T05,Tanta,Gharbia,Delta,A,192700.0,2024-05-27,Active,1.97
A0185,Tanta Pharmacy 33,Pharmacy,T05,Tanta,Gharbia,Delta,A,173600.0,2024-10-18,Active,2.04
A0186,Tanta Pharmacy 34,Pharmacy,T05,Tanta,Gharbia,Delta,B,116500.0,2024-05-21,Active,1.08
A0187,Tanta Clinic 35,Clinic,T05,Tanta,Gharbia,Delta,B,99600.0,2023-11-20,Active,1.29
A0188,Tanta Pharmacy 36,Pharmacy,T05,Tanta,Gharbia,Delta,A,149400.0,2022-10-01,Active,2.02
A0189,Tanta Pharmacy 37,Pharmacy,T05,Tanta,Gharbia,Delta,C,49500.0,2023-02-19,Active,0.9
A0190,Tanta Clinic 38,Clinic,T05,Tanta,Gharbia,Delta,A,206800.0,2024-08-28,Active,1.82
A0191,Tanta Distributor 39,Distributor,T05,Tanta,Gharbia,Delta,A,178000.0,2023-02-21,Active,1.58
A0192,Tanta Pharmacy 40,Pharmacy,T05,Tanta,Gharbia,Delta,B,106400.0,2023-12-13,Active,1.2
A0193,Tanta Pharmacy 41,Pharmacy,T05,Tanta,Gharbia,Delta,B,83400.0,2022-12-05,Active,1.35
A0194,Tanta Distributor 42,Distributor,T05,Tanta,Gharbia,Delta,B,118300.0,2024-10-29,Active,1.41
A0195,El Mahalla El Kubra Distributor 01,Distributor,T06,El Mahalla El Kubra,Gharbia,Delta,B,78500.0,2023-07-29,Active,0.99
A0196,El Mahalla El Kubra Distributor 02,Distributor,T06,El Mahalla El Kubra,Gharbia,Delta,C,49600.0,2024-07-24,Active,0.8
A0197,El Mahalla El Kubra Pharmacy 03,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,B,90000.0,2024-09-20,Active,1.29
A0198,El Mahalla El Kubra Pharmacy 04,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,A,161200.0,2023-06-18,Active,1.35
A0199,El Mahalla El Kubra Clinic 05,Clinic,T06,El Mahalla El Kubra,Gharbia,Delta,A,158400.0,2023-10-05,Active,1.61
A0200,El Mahalla El Kubra Hospital 06,Hospital,T06,El Mahalla El Kubra,Gharbia,Delta,A,163100.0,2022-07-31,Active,1.68
A0201,El Mahalla El Kubra Pharmacy 07,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,C,36400.0,2023-07-26,Active,0.68
A0202,El Mahalla El Kubra Pharmacy 08,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,B,90000.0,2023-10-05,Active,1.37
A0203,El Mahalla El Kubra Pharmacy 09,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,B,109200.0,2024-06-13,Active,1.2
A0204,El Mahalla El Kubra Pharmacy 10,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,B,107100.0,2024-05-05,Active,0.99
A0205,El Mahalla El Kubra Clinic 11,Clinic,T06,El Mahalla El Kubra,Gharbia,Delta,B,102100.0,2023-12-25,Active,1.03
A0206,El Mahalla El Kubra Hospital 12,Hospital,T06,El Mahalla El Kubra,Gharbia,Delta,C,42300.0,2022-10-23,Active,0.76
A0207,El Mahalla El Kubra Clinic 13,Clinic,T06,El Mahalla El Kubra,Gharbia,Delta,A,211600.0,2023-05-17,Active,1.93
A0208,El Mahalla El Kubra Pharmacy 14,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,C,51000.0,2024-03-18,Active,0.69
A0209,El Mahalla El Kubra Pharmacy 15,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,B,94300.0,2024-06-27,Active,1.09
A0210,El Mahalla El Kubra Clinic 16,Clinic,T06,El Mahalla El Kubra,Gharbia,Delta,B,81300.0,2023-04-21,Active,0.94
A0211,El Mahalla El Kubra Clinic 17,Clinic,T06,El Mahalla El Kubra,Gharbia,Delta,C,45400.0,2024-07-12,Active,0.91
A0212,El Mahalla El Kubra Pharmacy 18,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,A,158800.0,2024-03-29,Active,1.78
A0213,El Mahalla El Kubra Pharmacy 19,Pharmacy,T06,El Mahalla El Kubra,Gharbia,Delta,C,36100.0,2024-09-23,Active,0.98
