Month,RepID,ProductCode,SalesTarget,UnitsTarget,TargetStatus
2025-02-01,R002,P004,7400,48,Approved
2025-02-01,R002,P005,700,6,Approved
2025-02-01,R002,P006,1000,8,Approved
2025-02-01,R002,P007,1200,7,Approved
2025-02-01,R002,P008,1500,8,Approved
2025-02-01,R002,P009,700,4,Approved
2025-02-01,R002,P010,1800,8,Approved
2025-02-01,R002,P011,1400,9,Approved
2025-02-01,R002,P012,900,6,Approved
2025-02-01,R003,P001,1200,6,Approved
2025-02-01,R003,P002,900,7,Approved
2025-02-01,R003,P003,1700,7,Approved
2025-02-01,R003,P004,1000,7,Approved
2025-02-01,R003,P005,1000,8,Approved
2025-02-01,R003,P006,800,6,Approved
2025-02-01,R003,P007,3300,20,Approved
2025-02-01,R003,P008,1500,7,Approved
2025-02-01,R003,P009,1300,7,Approved
2025-02-01,R003,P010,1900,8,Approved
2025-02-01,R003,P011,700,4,Approved
2025-02-01,R003,P012,1100,7,Approved
2025-02-01,R004,P001,2700,15,Approved
2025-02-01,R004,P002,1500,11,Approved
2025-02-01,R004,P003,200,1,Approved
2025-02-01,R004,P004,1600,11,Approved
2025-02-01,R004,P005,1500,14,Approved
2025-02-01,R004,P006,3500,30,Approved
2025-02-01,R004,P007,1500,9,Approved
2025-02-01,R004,P008,8700,45,Approved
2025-02-01,R004,P009,1100,6,Approved
2025-02-01,R004,P010,3200,16,Approved
2025-02-01,R004,P011,900,6,Approved
2025-02-01,R004,P012,1600,11,Approved
2025-02-01,R005,P001,1700,8,Approved
2025-02-01,R005,P002,1200,8,Approved
2025-02-01,R005,P003,7400,34,Approved
2025-02-01,R005,P004,1800,12,Approved
2025-02-01,R005,P005,2100,19,Approved
2025-02-01,R005,P006,1200,9,Approved
2025-02-01,R005,P007,3700,24,Approved
2025-02-01,R005,P008,1800,9,Approved
2025-02-01,R005,P009,1900,10,Approved
2025-02-01,R005,P010,700,3,Approved
2025-02-01,R005,P011,1300,8,Approved
2025-02-01,R005,P012,1300,9,Approved
2025-02-01,R006,P001,1800,9,Approved
2025-02-01,R006,P002,4600,36,Approved
2025-02-01,R006,P003,2500,10,Approved
2025-02-01,R006,P004,2000,13,Approved
2025-02-01,R006,P005,1500,15,Approved
2025-02-01,R006,P006,1200,9,Approved
2025-02-01,R006,P007,1300,8,Approved
2025-02-01,R006,P008,2400,13,Approved
2025-02-01,R006,P009,1100,6,Approved
2025-02-01,R006,P010,2300,10,Approved
2025-02-01,R006,P011,1400,9,Approved
2025-02-01,R006,P012,2800,19,Approved
2025-02-01,R007,P001,1600,8,Approved
2025-02-01,R007,P002,1000,8,Approved
2025-02-01,R007,P003,3000,13,Approved
2025-02-01,R007,P004,3400,23,Approved
2025-02-01,R007,P005,1900,17,Approved
2025-02-01,R007,P006,4500,37,Approved
2025-02-01,R007,P007,1400,8,Approved
2025-02-01,R007,P008,2000,10,Approved
2025-02-01,R007,P009,1400,8,Approved
2025-02-01,R007,P010,1400,7,Approved
2025-02-01,R007,P011,1300,9,Approved
2025-02-01,R007,P012,3000,20,Approved
2025-02-01,R008,P001,1600,8,Approved
2025-02-01,R008,P002,1600,13,Approved
2025-02-01,R008,P003,2900,14,Approved
2025-02-01,R008,P004,2200,14,Approved
2025-02-01,R008,P005,1000,8,Approved
2025-02-01,R008,P006,5900,50,Approved
2025-02-01,R008,P007,1000,6,Approved
2025-02-01,R008,P008,4000,22,Approved
2025-02-01,R008,P009,2100,12,Approved
2025-02-01,R008,P010,2700,14,Approved
2025-02-01,R008,P011,1000,7,Approved
2025-02-01,R008,P012,500,3,Approved
2025-02-01,R009,P001,1500,8,Approved
2025-02-01,R009,P002,700,5,Approved
2025-02-01,R009,P003,3400,15,Approved
2025-02-01,R009,P004,1200,7,Approved
2025-02-01,R009,P005,700,6,Approved
2025-02-01,R009,P006,600,4,Approved
2025-02-01,R009,P007,1000,6,Approved
2025-02-01,R009,P008,1500,8,Approved
2025-02-01,R009,P009,1100,6,Approved
2025-02-01,R009,P010,1800,8,Approved
2025-02-01,R009,P011,1000,6,Approved
2025-02-01,R009,P012,1700,12,Approved
2025-02-01,R010,P001,3700,21,Approved
2025-02-01,R010,P002,800,6,Approved
2025-02-01,R010,P003,4500,21,Approved
2025-02-01,R010,P004,1200,8,Approved
2025-02-01,R010,P005,2200,20,Approved
2025-02-01,R010,P006,1000,8,Approved
2025-02-01,R010,P007,1000,7,Approved
2025-02-01,R010,P008,1400,7,Approved
2025-02-01,R010,P009,2100,11,Approved
2025-02-01,R010,P010,2800,14,Approved
2025-02-01,R010,P011,2100,14,Approved
2025-02-01,R010,P012,1100,7,Approved
2025-02-01,R011,P001,1300,7,Approved
2025-02-01,R011,P002,800,6,Approved
2025-02-01,R011,P003,3100,15,Approved
2025-02-01,R011,P004,2000,14,Approved
2025-02-01,R011,P005,1100,10,Approved
2025-02-01,R011,P006,1500,12,Approved
2025-02-01,R011,P007,4300,27,Approved
2025-02-01,R011,P008,1800,8,Approved
2025-02-01,R011,P009,2200,13,Approved
2025-02-01,R011,P010,900,4,Approved
2025-02-01,R011,P011,2700,19,Approved
2025-02-01,R011,P012,6700,48,Approved
2025-03-01,R001,P001,2800,15,Approved
2025-03-01,R001,P002,1300,10,Approved
2025-03-01,R001,P003,2300,11,Approved
2025-03-01,R001,P004,1600,10,Approved
2025-03-01,R001,P005,2500,23,Approved
2025-03-01,R001,P006,600,6,Approved
2025-03-01,R001,P007,2300,14,Approved
2025-03-01,R001,P008,2400,12,Approved
2025-03-01,R001,P009,600,3,Approved
2025-03-01,R001,P010,8000,39,Approved
2025-03-01,R001,P011,600,4,Approved
2025-03-01,R001,P012,2400,17,Approved
2025-03-01,R002,P001,6000,32,Approved
2025-03-01,R002,P002,1000,7,Approved
2025-03-01,R002,P003,1700,7,Approved
2025-03-01,R002,P004,2400,15,Approved
2025-03-01,R002,P005,1800,17,Approved
2025-03-01,R002,P006,700,5,Approved
2025-03-01,R002,P007,1500,9,Approved
2025-03-01,R002,P008,600,3,Approved
2025-03-01,R002,P009,2000,12,Approved
2025-03-01,R002,P010,2900,14,Approved
2025-03-01,R002,P011,2000,13,Approved
2025-03-01,R002,P012,900,6,Approved
2025-03-01,R003,P001,1300,7,Approved
2025-03-01,R003,P002,1100,8,Approved
2025-03-01,R003,P003,1900,8,Approved
2025-03-01,R003,P004,3800,24,Approved
2025-03-01,R003,P005,900,8,Approved
2025-03-01,R003,P006,1300,10,Approved
2025-03-01,R003,P007,1200,7,Approved
2025-03-01,R003,P008,2100,11,Approved
2025-03-01,R003,P009,1100,6,Approved
2025-03-01,R003,P010,1400,6,Approved
2025-03-01,R003,P011,1300,8,Approved
2025-03-01,R003,P012,800,5,Approved
2025-03-01,R004,P001,1400,7,Approved
2025-03-01,R004,P002,2800,21,Approved
2025-03-01,R004,P003,1500,6,Approved
2025-03-01,R004,P004,1800,12,Approved
2025-03-01,R004,P005,1000,9,Approved
2025-03-01,R004,P006,900,7,Approved
2025-03-01,R004,P007,1200,7,Approved
2025-03-01,R004,P008,700,4,Approved
2025-03-01,R004,P009,1600,8,Approved
2025-03-01,R004,P010,1700,8,Approved
2025-03-01,R004,P011,1600,11,Approved
2025-03-01,R004,P012,2000,14,Approved
2025-03-01,R005,P001,1600,8,Approved
2025-03-01,R005,P002,4500,35,Approved
2025-03-01,R005,P003,3900,18,Approved
2025-03-01,R005,P004,700,5,Approved
2025-03-01,R005,P005,900,9,Approved
2025-03-01,R005,P006,3200,28,Approved
2025-03-01,R005,P007,6100,40,Approved
2025-03-01,R005,P008,5500,29,Approved
2025-03-01,R005,P009,5500,31,Approved
2025-03-01,R005,P010,2200,10,Approved
2025-03-01,R005,P011,1100,8,Approved
2025-03-01,R005,P012,3000,22,Approved
2025-03-01,R006,P001,1100,6,Approved
2025-03-01,R006,P002,1500,10,Approved
2025-03-01,R006,P003,1800,8,Approved
2025-03-01,R006,P004,1400,9,Approved
2025-03-01,R006,P005,1000,9,Approved
2025-03-01,R006,P006,700,6,Approved
2025-03-01,R006,P007,1300,8,Approved
2025-03-01,R006,P008,1600,8,Approved
2025-03-01,R006,P009,900,5,Approved
2025-03-01,R006,P010,3700,18,Approved
2025-03-01,R006,P011,2700,18,Approved
2025-03-01,R006,P012,1500,11,Approved
2025-03-01,R007,P001,4200,23,Approved
2025-03-01,R007,P002,600,4,Approved
2025-03-01,R007,P003,1000,4,Approved
2025-03-01,R007,P004,1200,7,Approved
2025-03-01,R007,P005,700,6,Approved
2025-03-01,R007,P006,1000,8,Approved
2025-03-01,R007,P007,1600,9,Approved
2025-03-01,R007,P008,3400,18,Approved
2025-03-01,R007,P009,1600,9,Approved
2025-03-01,R007,P010,2000,9,Approved
2025-03-01,R007,P011,1100,7,Approved
2025-03-01,R007,P012,1200,8,Approved
2025-03-01,R008,P001,2200,12,Approved
2025-03-01,R008,P002,1600,12,Approved
2025-03-01,R008,P003,1800,8,Approved
2025-03-01,R008,P004,1400,9,Approved
2025-03-01,R008,P005,1500,13,Approved
2025-03-01,R008,P006,1400,12,Approved
2025-03-01,R008,P007,2500,15,Approved
2025-03-01,R008,P008,1400,7,Approved
2025-03-01,R008,P009,1500,8,Approved
2025-03-01,R008,P010,2500,13,Approved
2025-03-01,R008,P011,100,1,Approved
2025-03-01,R008,P012,1300,8,Approved
2025-03-01,R009,P001,4000,22,Approved
2025-03-01,R009,P002,2000,15,Approved
2025-03-01,R009,P003,1400,6,Approved
2025-03-01,R009,P004,900,6,Approved
2025-03-01,R009,P005,900,7,Approved
2025-03-01,R009,P006,600,4,Approved
2025-03-01,R009,P007,1500,10,Approved
2025-03-01,R009,P008,700,4,Approved
2025-03-01,R009,P009,1100,6,Approved
2025-03-01,R009,P010,700,3,Approved
2025-03-01,R009,P011,4500,31,Approved
2025-03-01,R009,P012,1400,10,Approved
2025-03-01,R010,P001,1800,10,Approved
2025-03-01,R010,P002,500,4,Approved
2025-03-01,R010,P003,800,3,Approved
2025-03-01,R010,P004,3400,22,Approved
2025-03-01,R010,P005,500,5,Approved
2025-03-01,R010,P006,2300,19,Approved
2025-03-01,R010,P007,2000,11,Approved
2025-03-01,R010,P008,6400,32,Approved
2025-03-01,R010,P009,3400,19,Approved
2025-03-01,R010,P010,2900,14,Approved
2025-03-01,R010,P011,2800,18,Approved
2025-03-01,R010,P012,1700,11,Approved
2025-03-01,R011,P001,2900,16,Approved
2025-03-01,R011,P002,600,4,Approved
2025-03-01,R011,P003,3800,18,Revised
2025-03-01,R011,P004,1400,8,Approved
2025-03-01,R011,P005,300,2,Approved
2025-03-01,R011,P006,1600,12,Approved
2025-03-01,R011,P007,1700,10,Approved
2025-03-01,R011,P008,1200,6,Approved
2025-03-01,R011,P009,1600,10,Approved
2025-03-01,R011,P010,2300,11,Approved
2025-03-01,R011,P011,1600,10,Approved
2025-03-01,R011,P012,3000,21,Approved
2025-04-01,R001,P001,1700,9,Approved
2025-04-01,R001,P002,1200,9,Approved
2025-04-01,R001,P003,2500,12,Approved
2025-04-01,R001,P004,300,2,Approved
2025-04-01,R001,P005,800,8,Approved
2025-04-01,R001,P006,1100,9,Approved
2025-04-01,R001,P007,2800,17,Approved
2025-04-01,R001,P008,1500,8,Approved
2025-04-01,R001,P009,3700,21,Approved
2025-04-01,R001,P010,2700,13,Approved
2025-04-01,R001,P011,2400,16,Approved
2025-04-01,R001,P012,1100,8,Approved
2025-04-01,R002,P001,2200,12,Approved
2025-04-01,R002,P002,1500,11,Approved
2025-04-01,R002,P003,2100,10,Approved
2025-04-01,R002,P004,700,4,Approved
2025-04-01,R002,P005,800,8,Approved
2025-04-01,R002,P006,1300,11,Approved
2025-04-01,R002,P007,1600,10,Approved
2025-04-01,R002,P008,1300,6,Revised
2025-04-01,R002,P009,1600,9,Approved
2025-04-01,R002,P010,1500,6,Approved
2025-04-01,R002,P011,1300,8,Approved
2025-04-01,R002,P012,1200,8,Approved
2025-04-01,R003,P001,1200,6,Approved
2025-04-01,R003,P002,1100,9,Approved
2025-04-01,R003,P003,1600,7,Approved
2025-04-01,R003,P004,1400,9,Approved
2025-04-01,R003,P005,900,7,Approved
2025-04-01,R003,P006,2700,23,Approved
2025-04-01,R003,P007,1300,7,Approved
2025-04-01,R003,P008,1800,10,Approved
2025-04-01,R003,P009,3400,19,Approved
2025-04-01,R003,P010,1700,8,Approved
2025-04-01,R003,P011,1500,10,Approved
2025-04-01,R003,P012,700,5,Approved
2025-04-01,R004,P001,1200,6,Approved
2025-04-01,R004,P002,1300,9,Approved
2025-04-01,R004,P003,6700,31,Approved
2025-04-01,R004,P004,2500,16,Approved
2025-04-01,R004,P005,1800,17,Approved
2025-04-01,R004,P006,900,7,Approved
2025-04-01,R004,P007,1800,11,Approved
2025-04-01,R004,P008,1400,7,Approved
2025-04-01,R004,P009,2200,13,Approved
2025-04-01,R004,P010,1000,5,Approved
2025-04-01,R004,P011,600,4,Approved
2025-04-01,R004,P012,4400,30,Approved
2025-04-01,R005,P001,2300,13,Approved
2025-04-01,R005,P002,3700,27,Approved
2025-04-01,R005,P003,1700,8,Approved
2025-04-01,R005,P004,1600,11,Approved
2025-04-01,R005,P005,2100,20,Approved
2025-04-01,R005,P006,2600,21,Approved
2025-04-01,R005,P007,1600,10,Approved
2025-04-01,R005,P008,2100,11,Approved
2025-04-01,R005,P009,900,5,Approved
2025-04-01,R005,P010,2000,9,Approved
2025-04-01,R005,P011,1600,10,Approved
2025-04-01,R005,P012,1000,7,Approved
2025-04-01,R006,P001,4200,23,Approved
2025-04-01,R006,P002,1300,9,Approved
2025-04-01,R006,P003,900,4,Approved
2025-04-01,R006,P004,2200,14,Approved
2025-04-01,R006,P005,800,7,Approved
2025-04-01,R006,P006,800,7,Approved
2025-04-01,R006,P007,1300,8,Approved
2025-04-01,R006,P008,1700,8,Approved
2025-04-01,R006,P009,800,5,Approved
2025-04-01,R006,P010,10400,49,Approved
2025-04-01,R006,P011,700,5,Approved
2025-04-01,R006,P012,800,6,Approved
2025-04-01,R007,P001,3300,19,Approved
2025-04-01,R007,P002,1100,8,Approved
2025-04-01,R007,P003,6100,27,Approved
2025-04-01,R007,P004,1100,7,Approved
2025-04-01,R007,P005,400,3,Approved
2025-04-01,R007,P006,600,4,Approved
2025-04-01,R007,P007,1700,10,Approved
2025-04-01,R007,P008,2900,15,Approved
2025-04-01,R007,P009,2400,14,Approved
2025-04-01,R007,P010,2100,9,Approved
2025-04-01,R007,P011,1400,9,Approved
2025-04-01,R007,P012,1600,11,Approved
2025-04-01,R008,P001,5700,31,Approved
2025-04-01,R008,P002,600,4,Approved
2025-04-01,R008,P003,800,4,Approved
2025-04-01,R008,P004,3100,21,Approved
2025-04-01,R008,P005,500,5,Approved
2025-04-01,R008,P006,2300,19,Approved
2025-04-01,R008,P007,3700,22,Approved
2025-04-01,R008,P008,900,5,Approved
2025-04-01,R008,P009,4800,28,Approved
2025-04-01,R008,P010,2300,10,Approved
2025-04-01,R008,P011,1300,9,Approved
2025-04-01,R008,P012,2400,17,Approved
2025-04-01,R009,P001,3100,17,Approved
2025-04-01,R009,P002,900,6,Approved
2025-04-01,R009,P003,5000,22,Approved
2025-04-01,R009,P004,2500,16,Approved
2025-04-01,R009,P005,900,7,Approved
2025-04-01,R009,P006,600,5,Approved
2025-04-01,R009,P007,1200,7,Approved
2025-04-01,R009,P008,700,3,Approved
2025-04-01,R009,P009,900,5,Approved
2025-04-01,R009,P010,2900,14,Approved
2025-04-01,R009,P011,1600,11,Approved
2025-04-01,R009,P012,1000,6,Approved
2025-04-01,R010,P001,1100,6,Approved
2025-04-01,R010,P002,600,4,Approved
2025-04-01,R010,P003,2200,10,Approved
2025-04-01,R010,P004,1100,7,Approved
2025-04-01,R010,P005,800,7,Approved
2025-04-01,R010,P006,1400,12,Approved
2025-04-01,R010,P007,1400,9,Approved
2025-04-01,R010,P008,2000,9,Approved
2025-04-01,R010,P009,1000,6,Approved
2025-04-01,R010,P010,2800,13,Approved
2025-04-01,R010,P011,1900,13,Approved
2025-04-01,R010,P012,3100,21,Approved
2025-04-01,R011,P001,2900,16,Approved
2025-04-01,R011,P002,1200,9,Approved
2025-04-01,R011,P003,4100,19,Approved
2025-04-01,R011,P004,1500,10,Approved
2025-04-01,R011,P005,1400,12,Approved
2025-04-01,R011,P006,1100,9,Approved
2025-04-01,R011,P007,2100,13,Approved
2025-04-01,R011,P008,900,4,Approved
2025-04-01,R011,P009,5200,31,Approved
2025-04-01,R011,P010,2000,10,Approved
2025-04-01,R011,P011,1100,7,Approved
2025-04-01,R011,P012,4300,31,Approved
2025-04-01,R012,P001,600,3,Approved
2025-04-01,R012,P002,900,7,Approved
2025-04-01,R012,P003,4300,19,Approved
2025-04-01,R012,P004,1200,8,Approved
2025-04-01,R012,P005,1000,9,Approved
2025-04-01,R012,P006,1200,9,Approved
2025-04-01,R012,P007,800,5,Approved
2025-04-01,R012,P008,1300,7,Approved
2025-04-01,R012,P009,1700,10,Approved
2025-04-01,R012,P010,5000,23,Approved
2025-04-01,R012,P011,700,4,Approved
2025-04-01,R012,P012,1000,6,Revised
2025-04-01,R013,P001,1700,9,Approved
2025-04-01,R013,P002,800,6,Approved
2025-04-01,R013,P003,1900,8,Approved
2025-04-01,R013,P004,1300,8,Approved
2025-04-01,R013,P005,900,8,Approved
2025-04-01,R013,P006,200,2,Approved
2025-04-01,R013,P007,900,6,Approved
2025-04-01,R013,P008,1700,8,Approved
2025-04-01,R013,P009,2700,15,Approved
2025-04-01,R013,P010,1700,9,Approved
2025-04-01,R013,P011,1700,11,Approved
2025-04-01,R013,P012,1900,14,Approved
2025-05-01,R001,P001,2600,14,Approved
2025-05-01,R001,P002,1000,7,Approved
2025-05-01,R001,P003,3600,16,Approved
2025-05-01,R001,P004,500,3,Approved
2025-05-01,R001,P005,1200,11,Approved
2025-05-01,R001,P006,900,7,Approved
2025-05-01,R001,P007,1900,12,Approved
2025-05-01,R001,P008,8600,44,Approved
2025-05-01,R001,P009,2500,15,Approved
2025-05-01,R001,P010,1100,5,Approved
2025-05-01,R001,P011,1100,8,Approved
2025-05-01,R001,P012,1500,10,Approved
2025-05-01,R002,P001,1800,10,Approved
2025-05-01,R002,P002,1800,13,Approved
2025-05-01,R002,P003,2600,11,Approved
2025-05-01,R002,P004,1100,7,Approved
2025-05-01,R002,P005,1700,16,Approved
2025-05-01,R002,P006,1200,11,Approved
2025-05-01,R002,P007,1000,6,Approved
2025-05-01,R002,P008,2300,13,Approved
2025-05-01,R002,P009,1300,7,Revised
2025-05-01,R002,P010,2600,13,Approved
2025-05-01,R002,P011,4000,26,Approved
2025-05-01,R002,P012,2600,18,Approved
2025-05-01,R003,P001,2700,15,Approved
2025-05-01,R003,P002,900,7,Approved
2025-05-01,R003,P003,1900,8,Approved
2025-05-01,R003,P004,600,4,Approved
2025-05-01,R003,P005,700,6,Approved
2025-05-01,R003,P006,1100,8,Approved
2025-05-01,R003,P007,2600,16,Approved
2025-05-01,R003,P008,1400,7,Approved
2025-05-01,R003,P009,4200,23,Approved
2025-05-01,R003,P010,2700,13,Approved
2025-05-01,R003,P011,1100,7,Approved
2025-05-01,R003,P012,1200,8,Approved
2025-05-01,R004,P001,3400,18,Approved
2025-05-01,R004,P002,1500,12,Approved
2025-05-01,R004,P003,2000,8,Approved
2025-05-01,R004,P004,4100,27,Approved
2025-05-01,R004,P005,600,5,Approved
2025-05-01,R004,P006,1400,11,Approved
2025-05-01,R004,P007,1400,8,Approved
2025-05-01,R004,P008,1400,7,Approved
2025-05-01,R004,P009,1700,9,Approved
2025-05-01,R004,P010,1600,7,Approved
2025-05-01,R004,P011,1000,7,Approved
2025-05-01,R004,P012,700,5,Approved
2025-05-01,R005,P001,1200,6,Approved
2025-05-01,R005,P002,1400,10,Approved
2025-05-01,R005,P003,2500,11,Approved
2025-05-01,R005,P004,1600,10,Approved
2025-05-01,R005,P005,2300,21,Approved
2025-05-01,R005,P006,1000,8,Approved
2025-05-01,R005,P007,6100,39,Approved
2025-05-01,R005,P008,1800,9,Approved
2025-05-01,R005,P009,3400,20,Approved
2025-05-01,R005,P010,1600,7,Approved
2025-05-01,R005,P011,1100,8,Approved
2025-05-01,R005,P012,800,6,Approved
2025-05-01,R006,P001,2500,14,Approved
2025-05-01,R006,P002,200,1,Approved
2025-05-01,R006,P003,7000,32,Approved
2025-05-01,R006,P004,4100,26,Approved
2025-05-01,R006,P005,500,4,Approved
2025-05-01,R006,P006,500,4,Approved
2025-05-01,R006,P007,1500,9,Approved
2025-05-01,R006,P008,800,4,Approved
2025-05-01,R006,P009,1600,10,Approved
2025-05-01,R006,P010,1100,5,Approved
2025-05-01,R006,P011,1200,8,Approved
2025-05-01,R006,P012,300,2,Approved
2025-05-01,R007,P001,3600,19,Approved
2025-05-01,R007,P002,1700,12,Approved
2025-05-01,R007,P003,8000,36,Approved
2025-05-01,R007,P004,600,4,Approved
2025-05-01,R007,P005,200,2,Approved
2025-05-01,R007,P006,2000,17,Approved
2025-05-01,R007,P007,1600,9,Approved
2025-05-01,R007,P008,500,2,Approved
2025-05-01,R007,P009,600,3,Approved
2025-05-01,R007,P010,3000,14,Approved
2025-05-01,R007,P011,1300,8,Approved
2025-05-01,R007,P012,3000,21,Approved
2025-05-01,R008,P001,2100,11,Approved
2025-05-01,R008,P002,2400,18,Approved
2025-05-01,R008,P003,1600,7,Approved
2025-05-01,R008,P004,1200,7,Approved
2025-05-01,R008,P005,200,2,Approved
2025-05-01,R008,P006,2300,18,Approved
2025-05-01,R008,P007,1000,6,Approved
2025-05-01,R008,P008,1900,9,Approved
2025-05-01,R008,P009,400,2,Approved
2025-05-01,R008,P010,2100,9,Approved
2025-05-01,R008,P011,2000,13,Approved
2025-05-01,R008,P012,2000,15,Approved
2025-05-01,R009,P001,1400,7,Approved
2025-05-01,R009,P002,4000,28,Approved
