ReturnID,ReturnDateRaw,OriginalInvoiceID,RepID,AccountID,ProductCodeRaw,ReturnQty,ReturnAmount,ReturnReason,Status
RET000185,2025-08-08,INV100658,R011,A0433,P007,2,323.13,Customer Overstock,Pending
RET000186,2025-03-14,INV100021,R007,A0245,P010,1,208.98,Near Expiry,Approved
RET000187,17/02/2026,INV102178,R005,A0191,P001,1,182.99,Customer Overstock,Approved
RET000188,2026-02-24,INV102228,R011,A0414,P009,2,363.62,Near Expiry,Approved
RET000189,2026-05-02,INV102462,R009,A0356,P001,1,197.39,Customer Overstock,Pending
RET000190,2026-02-02,INV101777,R015,A0324,P009,4,705.87,Product Recall,Approved
RET000191,2026-04-19,INV102391,R001,A0011,P007,1,171.03,Customer Overstock,Approved
RET000192,2025-10-31,INV101457,R012,A0502,P004,2,326.06,Order Error,Approved
RET000193,2025-12-18,INV101816,R001,A0029,P010,4,903.39,Product Recall,Approved
RET000194,2026-06-03,INV102968,R001,A0021,P010,3,663.13,Customer Overstock,Approved
RET000195,2025-06-26,INV100645,R004,A0135,P005,2,230.61,Near Expiry,Approved
RET000196,2026-01-22,INV101638,R005,A0188,P007,1,171.98,Order Error,Approved
RET000197,2025-12-19,INV101786,R014,A0184,P002,5,697.2,Order Error,Rejected
RET000198,2026-05-01,INV102456,R015,A0286,P012,1,147.8,Near Expiry,Approved
RET000199,2026-03-23,INV102164,R003,A0093,P004,1,161.42,Customer Overstock,Approved
RET000200,2026-07-31,INV103393,R013,A0009,P011,3,430.59,Damaged Pack,Approved
RET000201,2025-09-11,INV100990,R013,A0016,P005 ,1,108.59,Order Error,Approved
RET000202,2026-02-22,INV101939,R004,A0139,P003,2,433.52,Customer Overstock,Approved
RET000203,2026-07-31,INV103139,R008,A0323,P004,1,151.66,Order Error,Approved
RET000204,2025-11-28,INV101452,R007,A0259,P010,1,229.85,Customer Overstock,Approved
RET000205,2025-09-15,INV101006,R010,A0363,P007,5,762.48,Product Recall,Approved
RET000206,2025-06-25,INV100446,R013,A0014,P011,1,153.26,Damaged Pack,Pending
RET000207,2026-06-10,INV102670,R012,A0499,P008,2,395.06,Customer Overstock,Pending
RET000208,2026-07-31,INV103349,R007,A0257,P012,2,308.7,Near Expiry,Approved
RET000209,11/08/2025,INV101375,R014,A0184,p010,3,626.28,Product Recall,Approved
RET000210,2025-11-27,INV101463,R010,A0370,P004,3,464.71,Damaged Pack,Approved
RET000211,2025-09-03,INV100959,R007,A0240,P006,1,128.56,Product Recall,Pending
RET000212,2025-05-30,INV100577,R006,A0207,P011,1,149.1,Damaged Pack,Rejected
RET000213,2025-12-06,INV101573,R010,A0403,P002,1,136.79,Customer Overstock,Approved
RET000214,2026-07-31,INV103363,R004,A0111,P002,2,275.65,Order Error,Approved
RET000215,2026-05-14,INV102573,R005,A0160,P001,1,186.29,Product Recall,Approved
RET000216,2025-08-29,INV101040,R008,A0280,P007,5,774.37,Product Recall,Approved
RET000217,2025-09-06,INV100948,R011,A0432,P007,1,164.85,Customer Overstock,Pending
RET000218,2025-09-01,INV100769,R012,A0467,P005,1,112.55,Product Recall,Approved
RET000219,2025-12-07,INV101765,R014,A0154,P008,6,1194.78,Customer Overstock,Approved
RET000220,2026-02-15,INV101797,R002,A0043,P001,1,187.47,Customer Overstock,Approved
RET000221,2025-08-14,INV101012,R002,A0062,P003,1,228.59,Product Recall,Approved
RET000222,2026-01-22,INV102004,R012,A0471,P006,6,739.39,Order Error,Approved
RET000223,2026-06-18,INV102975,R004,A0122,P011,2,311.11,Near Expiry,Approved
RET000224,2026-06-12,INV102658,R009,A0347,P005,4,460.81,Product Recall,Approved
RET000225,2026-06-08,INV102774,R010,A0400,P001,3,574.08,Order Error,Approved
RET000226,2025-09-05,INV100946,R009,A0328,P004,2,320.26,Near Expiry,Pending
RET000227,2026-07-31,INV103415,R008,A0298,P012,5,727.2,Near Expiry,Rejected
RET000228,2025-08-15,INV100880,R012,A0495,P003,1,229.99,Damaged Pack,Approved
RET000229,2025-08-28,INV100820,R009,A0352,P006,1,120.78,Customer Overstock,Approved
RET000230,2026-07-27,INV103182,R008,A0304,P010,1,229.94,Near Expiry,Approved
RET000231,2025-09-13,INV100915,R014,A0173,P005,7,730.52,Order Error,Approved
RET000232,2025-04-10,INV100266,R001,A0034,P011,2,304.63,Damaged Pack,Approved
RET000233,2025-05-21,INV100294,R009,A0330,P006,2,250.22,Product Recall,Approved
RET000234,2026-04-24,INV102599,R016,A0444,P009,1,195.32,Damaged Pack,Approved
RET000235,2025-03-18,INV100184,R009,A0332,P002,1,133.88,Customer Overstock,Approved
RET000236,2026-03-11,INV102000,R008,A0281,P008,5,1036.63,Order Error,Approved
RET000237,2026-07-03,INV102846,R004,A0121,P009,1,190.69,Order Error,Approved
RET000238,2026-07-04,INV103190,R009,A0342,P007,1,162.68,Near Expiry,Rejected
RET000239,2025-08-31,INV100870,R009,A0332,P001,1,192.08,Order Error,Approved
RET000240,2026-07-31,INV103410,R018,A0399,P011,1,162.05,Product Recall,Approved
RET000241,2025-11-03,INV101389,R013,A0017,P004,1,157.69,Order Error,Rejected
RET000242,2025-10-18,INV101154,R011,A0437,P009,6,1055.68,Customer Overstock,Approved
RET000243,2025-12-14,INV101831,R001,A0033,P007,7,1180.84,Damaged Pack,Pending
RET000244,2026-03-25,INV102102,R012,A0472,P009,2,385.53,Customer Overstock,Pending
RET000245,2025-04-02,INV100148,R004,A0148,P008,2,383.19,Near Expiry,Approved
RET000246,2025-09-26,INV101116,R010,A0385,P004,2,295.9,Damaged Pack,Approved
RET000247,2025-12-06,INV101476,R015,A0308,P009,2,366.8,Damaged Pack,Approved
RET000248,28-Jan-2026,INV101884,R011,A0412,P007,1,175.22,Damaged Pack,Approved
RET000249,2026-04-06,INV102394,R006,A0223,P007,2,372.46,Customer Overstock,Approved
RET000250,2026-05-28,INV102928,R010,A0408,P004,3,477.53,Customer Overstock,Pending
RET000251,12/06/2026,INV102957,R009,A0357,P008,2,426.32,Near Expiry,Approved
RET000252,2025-04-27,INV100363,R005,A0158,P002,6,809.8,Near Expiry,Approved
RET000253,2026-07-13,INV102868,R011,A0448,P012,2,315.97,Near Expiry,Approved
RET000254,2025-12-21,INV101807,R004,A0124,P012,3,419.07,Product Recall,Rejected
RET000255,2025-12-06,INV101464,R011,A0447,P001,1,175.99,Order Error,Approved
RET000256,2025-10-12,INV101057,R012,A0476,P008,1,196.78,Damaged Pack,Approved
RET000257,2026-02-12,INV102142,R017,A0091,P010,6,1216.62,Customer Overstock,Pending
RET000258,2025-10-23,INV101095,R006,A0230,P006,1,119.05,Near Expiry,Approved
RET000259,2026-07-31,INV103258,R011,A0439,P003,6,1397.97,Product Recall,Approved
RET000260,2026-04-26,INV102451,R008,A0288,P005,3,330.94,Order Error,Approved
RET000261,2026-01-22,INV101715,R010,A0400,P006,4,518.96,Damaged Pack,Approved
RET000262,2026-05-15,INV102801,R018,A0380,P005,3,346.17,Product Recall,Approved
RET000263,2026-05-06,INV102432,R005,A0170,P001,2,389.77,Near Expiry,Approved
RET000264,2025-07-16,INV100810,R010,A0376,P011,4,610.1,Damaged Pack,Approved
RET000265,2026-01-31,INV102064,R011,A0455,P007,2,332.21,Order Error,Approved
RET000266,2026-06-06,INV102747,R016,A0434,P001,3,565.7,Order Error,Approved
RET000267,2025-09-02,INV101146,R015,A0292,P010,1,217.57,Customer Overstock,Approved
RET000268,2025-10-06,INV101347,R015,A0279,P011,1,157.46,Damaged Pack,Approved
RET000269,2025-07-09,INV100720,R005,A0156,P003,2,453.09,Near Expiry,Approved
RET000270,2026-03-06,INV101976,R007,A0241,P007,1,182.15,Product Recall,Approved
RET000271,2025-03-19,INV100104,R010,A0370,P005,4,451.33,Order Error,Approved
RET000272,2026-05-21,INV102826,R018,A0373,P008,1,201.28,Product Recall,Approved
RET000273,2026-01-19,INV101919,R004,A0114,p009,1,180.52,Damaged Pack,Approved
RET000274,2025-06-29,INV100665,R011,A0456,P006,5,617.53,Customer Overstock,Approved
RET000275,2025-10-03,INV101155,R012,A0491,P008,2,400.45,Customer Overstock,Approved
RET000276,2026-01-28,INV101860,R003,A0079,P003,2,461.07,Order Error,Rejected
RET000277,2026-03-21,INV102061,R007,A0262,P007,3,521.13,Product Recall,Approved
RET000278,2025-04-28,INV100276,R007,A0239,P009,3,536.77,Order Error,Approved
RET000279,2026-03-04,INV102138,R009,A0342,P005,4,469.73,Customer Overstock,Pending
RET000280,2026-07-31,INV103291,R004,A0131,p006,3,399.43,Damaged Pack,Approved
RET000281,2026-04-26,INV102568,R011,A0421,P011,1,159.44,Product Recall,Approved
RET000282,2025-05-26,INV100573,R011,A0443,P011,1,157.91,Damaged Pack,Approved
RET000283,2026-07-02,INV102724,R005,A0166,P002,3,433.16,Product Recall,Approved
RET000284,2025-09-12,INV100142,R003,A0106,P011,1,147.81,Customer Overstock,Rejected
RET000285,2026-05-05,INV102661,R015,A0294,P002,3,423.39,Customer Overstock,Approved
RET000286,2026-07-31,INV103344,R015,A0303,P003,1,228.34,Customer Overstock,Approved
RET000287,2026-07-31,INV103191,R011,A0454,P008,4,806.93,Customer Overstock,Approved
RET000288,2025-06-28,INV100507,R002,A0067,P012,2,292.04,Customer Overstock,Approved
RET000289,2026-01-21,INV101887,R015,A0283,P010,1,213.42,Damaged Pack,Approved
RET000290,2025-09-06,INV100877,R007,A0238, P009,1,176.42,Order Error,Pending
RET000291,2025-12-12,INV101647,R003,A0102,P011,2,297.31,Damaged Pack,Approved
RET000292,2026-04-02,INV102207,R005,A0185,P001,2,359.51,Order Error,Approved
RET000293,2025-05-03,INV100251,R008,A0302,P002,3,386.66,Product Recall,Approved
RET000294,2026-07-31,INV103080,R003,A0090,P010,5,1130.67,Damaged Pack,Rejected
RET000295,2025-10-15,INV101447,R016,A0417,P007,1,169.39,Product Recall,Pending
RET000296,2025-08-11,INV100996,R006,A0215,P006,1,123.61,Order Error,Approved
RET000297,2026-04-27,INV102537,R012,A0479,P009,1,186.78,Order Error,Rejected
RET000298,2026-07-31,INV103112,R015,A0322,P006,2,274.23,Product Recall,Pending
RET000299,2026-01-05,INV101872,R008,A0310,P007,3,482.64,Product Recall,Approved
RET000300,2026-02-11,INV102027,R010,A0385,P001,4,762.78,Product Recall,Rejected
